tranche_id,period,end_balance_ldcma,end_balance_bma,abs_diff,field,total_principal_ldcma,total_principal_bma,interest_paid_ldcma,interest_paid_bma,interest_shortfall_ldcma,interest_shortfall_bma,cashflow_total_ldcma,cashflow_total_bma,writedown_ldcma,writedown_bma,coupon_rate_ldcma,coupon_rate_bma
ADMIN_FEE,1,0.0,42403484.720000006,42403484.720000006,end_balance,,,,,,,,,,,,
SERVICING_FEE,244,0.0,42403484.720000006,42403484.720000006,end_balance,,,,,,,,,,,,
SERVICING_FEE,245,0.0,42403484.720000006,42403484.720000006,end_balance,,,,,,,,,,,,
SERVICING_FEE,246,0.0,42403484.720000006,42403484.720000006,end_balance,,,,,,,,,,,,
SERVICING_FEE,274,0.0,42403484.720000006,42403484.720000006,end_balance,,,,,,,,,,,,
C,148,,,3922322.3365999926,interest_shortfall,,,,,0.0,3922322.3365999926,,,,,,
C,147,,,3895820.1586499927,interest_shortfall,,,,,0.0,3895820.1586499927,,,,,,
C,149,,,3881492.1243176605,interest_shortfall,,,,,0.0,3881492.1243176605,,,,,,
C,146,,,3869317.9806999927,interest_shortfall,,,,,0.0,3869317.9806999927,,,,,,
C,145,,,3842815.802749993,interest_shortfall,,,,,0.0,3842815.802749993,,,,,,
B,359,,,2827677.767698149,writedown,,,,,,,,,2827677.767698149,0.0,,
C,359,,,269606.33328782674,writedown,,,,,,,,,4240348.472,3970742.1387121733,,
B,106,,,171089.92182336687,cashflow_total,,,,,,,19434.930496666668,190524.85232003353,,,,
B,106,,,171089.92182336687,interest_paid,,,19434.930496666668,190524.85232003353,,,,,,,,
B,107,,,169311.6476252422,cashflow_total,,,,,,,19434.930496666668,188746.57812190888,,,,
B,107,,,169311.6476252422,interest_paid,,,19434.930496666668,188746.57812190888,,,,,,,,
B,108,,,167547.445782223,interest_paid,,,19434.930496666668,186982.37627888966,,,,,,,,
B,108,,,167547.445782223,cashflow_total,,,,,,,19434.930496666668,186982.37627888966,,,,
B,109,,,165797.2107270379,interest_paid,,,19434.930496666668,185232.14122370456,,,,,,,,
B,109,,,165797.2107270379,cashflow_total,,,,,,,19434.930496666668,185232.14122370456,,,,
B,110,,,164060.83766309256,cashflow_total,,,,,,,19434.930496666668,183495.76815975923,,,,
B,110,,,164060.83766309256,interest_paid,,,19434.930496666668,183495.76815975923,,,,,,,,
B,118,,,150752.06328217508,total_principal,0.0,150752.06328217508,,,,,,,,,,
B,119,,,149827.27126423072,total_principal,0.0,149827.27126423072,,,,,,,,,,
B,120,,,148911.53890623586,total_principal,0.0,148911.53890623586,,,,,,,,,,
