tranche_id,total_principal_ldcma,interest_paid_ldcma,writedown_ldcma,cashflow_total_ldcma,total_principal_bma,interest_paid_bma,writedown_bma,cashflow_total_bma,total_principal_diff,interest_paid_diff,writedown_diff,cashflow_total_diff
A,29682439.30399999,6951964.329355534,0.0,36634403.63335552,29682439.304000013,4464378.723130536,0.0,34146818.02713055,2.2351741790771484e-08,-2487585.606224998,0.0,-2487585.606224969
ADMIN_FEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,1412670.70430185,5615528.737313767,2827677.767698149,7028199.441615617,4240348.472000001,2572895.542521479,0.0,6813244.01452148,2827677.767698151,-3042633.194792288,-2827677.767698149,-214955.4270941373
BACKUP_SFEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,4302458.809602349,4240348.472,4302458.809602349,269606.33328782656,7853767.462284053,3970742.1387121733,8123373.7955718795,269606.33328782656,3551308.6526817037,-269606.33328782674,3820914.9859695304
CUSTODIAN_FEE,0.0,163624.40091591683,0.0,163624.40091591683,0.0,0.0,0.0,0.0,0.0,-163624.40091591683,0.0,-163624.40091591683
INDENTURE_FEE,0.0,447185.57278915064,0.0,447185.57278915064,0.0,447185.57278915064,0.0,447185.57278915064,0.0,0.0,0.0,0.0
OWNER_FEE,0.0,177566.31276448557,0.0,177566.31276448557,0.0,177566.31276448557,0.0,177566.31276448557,0.0,0.0,0.0,0.0
R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SERVICING_FEE,0.0,3656527.1080050147,0.0,3656527.1080050147,0.0,1701777.5562705132,0.0,1701777.5562705132,0.0,-1954749.5517345015,0.0,-1954749.5517345015
SPREAD_ACCT,999999.9999999997,0.0,0.0,999999.9999999997,0.0,0.0,0.0,0.0,-999999.9999999997,0.0,0.0,-999999.9999999997
TRIGGER_CUMLOSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
